,app_nums,overdue_nums,app_nums/overdue_nums
cn.jishiyu11.app,3,1,0.3333333333333333
cn.jisudai.app,1,0,0.0
cn.jiujiudai.H5291D269,293,65,0.22184300341296928
cn.jiujiudai.H5291D299,10,2,0.2
cn.jj,74,17,0.22972972972972974
cn.jj.bomb,4,3,0.75
cn.jj.chess,1,0,0.0
cn.jj.hall,20,4,0.2
cn.jj.joint.popdash.jj,2,0,0.0
cn.jj.lordhl,1,1,1.0
cn.jj.ly.mlt,2,0,0.0
cn.jj.xxdzz,1,1,1.0
cn.jsb.china,3,0,0.0
cn.jsx.youxidiantai,1,1,1.0
cn.jugame.assistant,1,0,0.0
cn.jyhelp.server,1,1,1.0
cn.kdqbxs.reader,1,0,0.0
cn.kidstone.cartoon,1,0,0.0
cn.kidyn.qdmedical160,2,0,0.0
cn.kkk5.charge.widget,4,0,0.0
cn.knet.eqxiu,11,5,0.45454545454545453
cn.knowbox.rc.parent,1,1,1.0
cn.koudaichaoshi,4,0,0.0
cn.ktyx.conn,1,0,0.0
cn.kuaipan.android,1,0,0.0
cn.kuwo.bjjt,1,1,1.0
cn.kuwo.juxing,2,1,0.5
cn.kuwo.player,145,33,0.22758620689655173
cn.kuwo.sing.phone4tv,2,0,0.0
cn.kuwo.tingshu,3,0,0.0
cn.kuwo.ygrt1,1,0,0.0
cn.kuwomi.player,1,0,0.0
cn.laidekuai,2,1,0.5
cn.laihuabei.loan,2,0,0.0
cn.lcsw.lcpay,1,0,0.0
cn.ledaiqianzhuang,2,0,0.0
cn.ledongli.ldl,3,2,0.6666666666666666
cn.liuyanbing.roadsurveyor.stable,1,0,0.0
cn.liuyanbing.surveyor,1,1,1.0
cn.longmaster.pengpeng,1,0,0.0
cn.lt.appstore,1,1,1.0
cn.lt.game,2,1,0.5
cn.lydia.pero,2,0,0.0
cn.mailchat,1,0,0.0
cn.mama.pregnant,4,0,0.0
cn.mashang.school,1,0,0.0
cn.mastercom.mtnos.sd.yd3,1,0,0.0
cn.mc.sq,1,0,0.0
cn.melonmobile.msyq,3,1,0.3333333333333333
cn.memedai.mmd,3,0,0.0
cn.memobird.app,1,0,0.0
cn.mifengkong.cps,43,12,0.27906976744186046
cn.mifengkong.huaxiaapp,22,5,0.22727272727272727
cn.mifengkong.loan,13,6,0.46153846153846156
cn.mifengkong.loan1,1,0,0.0
cn.mifengkong.twotypeloan,1,0,0.0
cn.missfresh.application,6,0,0.0
cn.mmote.yuepai,1,1,1.0
cn.mobile.renrentou,1,1,1.0
cn.mucang.android.qichetoutiao,2,2,1.0
cn.mucang.xiaomi.android.wz,10,4,0.4
cn.myhug.baobao,2,0,0.0
cn.mymzt.pay,2,0,0.0
