,uid,bad_app_num
648,2235526029982,106
649,2235530223799,86
650,2235530983071,119
651,2235532395232,138
652,2235532580955,125
653,2235534972679,130
654,2235535502879,123
655,2235539483444,133
656,2235541790153,125
657,2235544428034,124
658,2235546447597,130
659,2235547589526,104
660,2235547939826,16
661,2235549152934,17
662,2235551781781,126
663,2235552781100,135
664,2235553779710,41
665,2235554038293,56
666,2235554329971,20
667,2235554515737,122
668,2235555208538,118
669,2235555211614,82
670,2235557853397,27
671,2235565483342,123
672,2235567658647,116
673,2235575382877,102
674,2235575868623,110
675,2235580593528,139
676,2235590299837,28
677,2235598511527,23
678,2235604377717,38
679,2235604855226,27
680,2235605645779,23
681,2235605912810,122
682,2235606532918,129
683,2235606540230,123
684,2235609604319,13
685,2235609845504,33
686,2235610593049,93
687,2235610701671,58
688,2235611415462,64
689,2235612748066,37
690,2235614149087,114
691,2235614252355,128
692,2235614381073,18
693,2235614482772,117
694,2235616273782,30
695,2235616863574,136
696,2235617164528,135
697,2235617239609,94
698,2235618639002,103
699,2235620432371,124
700,2235621803148,136
701,2235622040380,109
702,2235622155326,137
703,2235622549456,97
704,2235624582775,129
705,2235627144393,132
706,2235629371877,31
707,2235629917217,24
708,2235630070417,39
709,2235630237219,116
710,2235631690875,135
711,2235632501814,138
712,2235633570457,127
713,2235634070356,96
714,2235638012428,115
715,2235638574550,115
716,2235641876445,135
717,2235642305294,133
718,2235644714073,97
719,2235647022905,112
720,2235648720960,117
721,2235655665973,41
722,2235656884321,129
723,2235657454728,110
724,2235657533779,125
725,2235657874011,19
726,2235658655447,67
727,2235685243203,93
728,2235689292867,122
729,2235689998195,25
730,2235692958766,113
731,2235692960351,48
732,2235693235473,13
733,2235695040992,18
734,2235696456070,27
735,2235697106368,14
736,2235697123217,138
737,2235697615709,31
738,2235703417311,21
739,2235704319588,32
740,2235704427225,117
741,2235706406783,139
742,2235708480430,57
743,2235710318671,41
744,2235713685145,123
745,2235715974323,95
746,2235716711634,22
747,2235717158879,33
748,2235717302897,117
749,2235717669002,33
750,2235721193789,131
751,2235722642377,101
752,2235723186734,106
753,2235723643971,127
754,2235730356005,143
755,2235731327159,107
756,2235731815382,136
757,2235739279022,118
758,2235740948903,128
