,app_nums,overdue_nums,app_nums/overdue_nums
belief.zooking.home,1,1,1.0
belief.zooking.wallpaper,1,1,1.0
betterway.com.creditcardsteward,1,0,0.0
bf.sgs.hdexp,1,0,0.0
bfx.fantasy.hongbao,1,0,0.0
bill.zts.com.mofaxianjin,1,0,0.0
bingdic.android.activity,1,0,0.0
biz.daex.app,1,1,1.0
bossclient.easymin.com.bossclient,1,0,0.0
br.com.rodrigokolb.realdrum,1,0,0.0
br.org.sidia.edgeplusnews,1,0,0.0
btctrade.jubi,1,0,0.0
bubei.tingshu,107,25,0.2336448598130841
business.phcx.com.businessapp,1,1,1.0
bwt.cc012,1,1,1.0
bwt.ch010,2,1,0.5
bwt.cpf030,1,0,0.0
by.game.binumbers,1,0,0.0
c.d.t,1,0,0.0
c.l.a,1,0,0.0
caimi.app.android.lottery,6,1,0.16666666666666666
card.LHKGJ.com,1,1,1.0
casino.longyin.com.casinowebviewjc,1,1,1.0
cc.doupai.i18n,1,0,0.0
cc.flydemo.animals2,1,0,0.0
cc.fotoplace.app,2,0,0.0
cc.kuapp.kview,1,0,0.0
cc.lianzainovel,1,0,0.0
cc.m8106b8.j8fbb3,1,0,0.0
cc.morechinese.MathKingdom,1,0,0.0
cc.netpas.android_firewall,2,1,0.5
cc.quanben.novel,11,2,0.18181818181818182
cc.quanbennovel,1,1,1.0
cc.quanhai.youbiquan,1,1,1.0
cc.quanhai2.hebei,1,1,1.0
cc.remennovel,1,0,0.0
cc.rs.gc,1,1,1.0
cc.ruit.zhidaoqianlai,2,0,0.0
cc.vshijie.www,1,0,0.0
cc.youqianla.youqianla,2,2,1.0
ccc.buludeziben,1,0,0.0
ccc.dafuvip,1,0,0.0
ccc.lyd,1,1,1.0
ccc.wanda2,1,0,0.0
ccc.wanda2017103001,1,0,0.0
ccc.xingyunwa,1,0,0.0
cd.ddhdJisudai,1,1,1.0
cgj.cocos2dxgame.ppl,1,1,1.0
cgjr.com.cgjr,1,0,0.0
cgtz.com.cgtz,1,1,1.0
ch.smalltech.ledflashlight.free,1,1,1.0
ch999.app.UI,8,3,0.375
changshabus.yeming1028.com,1,1,1.0
chen.anew.com.zhujiang,1,0,0.0
chengchaung.huabeidaikuan,1,1,1.0
chinatelecom.mwallet,2,1,0.5
city.truck.race3d,1,0,0.0
cld.navi.mainframe,14,1,0.07142857142857142
cld.navi.position.frame,1,0,0.0
cloneit.pkg.install,3,1,0.3333333333333333
cmb.pb,671,170,0.2533532041728763
cmccwm.miguinside,1,0,0.0
cmccwm.mobilemusic,70,21,0.3
cn.TuHu.android,23,5,0.21739130434782608
cn.aedu.v1.ui,2,1,0.5
cn.aijee.pwd,1,0,0.0
cn.aiqy.delivery_public,1,0,0.0
cn.aiqy.demo_postman,4,2,0.5
cn.aiqy.demo_public,1,0,0.0
cn.akkcyb,3,0,0.0
cn.akkpos,1,0,0.0
cn.albatross.anchovy.an.cb,1,0,0.0
cn.amazon.mShop.android,14,4,0.2857142857142857
cn.an_link.crm,1,0,0.0
cn.andouya,16,5,0.3125
cn.apppark.ckj10225339,1,0,0.0
